Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
09/11/2021 00:00:00,09/11/2021,"NTS Energy Offtaken, Storage Injection Total",29691433,10/11/2021 12:01:01,L
08/11/2021 00:00:00,08/11/2021,"NTS Energy Offtaken, Storage Injection Total",61131258,09/11/2021 12:01:01,L
07/11/2021 00:00:00,07/11/2021,"NTS Energy Offtaken, Storage Injection Total",236900893,08/11/2021 12:01:00,L
06/11/2021 00:00:00,06/11/2021,"NTS Energy Offtaken, Storage Injection Total",347771654,07/11/2021 12:01:01,L
05/11/2021 00:00:00,05/11/2021,"NTS Energy Offtaken, Storage Injection Total",0,06/11/2021 12:01:01,L
04/11/2021 00:00:00,04/11/2021,"NTS Energy Offtaken, Storage Injection Total",0,05/11/2021 12:01:01,L
03/11/2021 00:00:00,03/11/2021,"NTS Energy Offtaken, Storage Injection Total",0,04/11/2021 12:01:01,L
02/11/2021 00:00:00,02/11/2021,"NTS Energy Offtaken, Storage Injection Total",1999990,03/11/2021 12:01:01,L
01/11/2021 00:00:00,01/11/2021,"NTS Energy Offtaken, Storage Injection Total",125474255,02/11/2021 12:01:00,L
31/10/2021 01:00:00,31/10/2021,"NTS Energy Offtaken, Storage Injection Total",147704091,01/11/2021 12:01:00,L
30/10/2021 01:00:00,30/10/2021,"NTS Energy Offtaken, Storage Injection Total",173957964,31/10/2021 12:01:00,L
29/10/2021 01:00:00,29/10/2021,"NTS Energy Offtaken, Storage Injection Total",133261433,30/10/2021 12:01:00,L
28/10/2021 01:00:00,28/10/2021,"NTS Energy Offtaken, Storage Injection Total",32924404,02/11/2021 12:01:00,A
27/10/2021 01:00:00,27/10/2021,"NTS Energy Offtaken, Storage Injection Total",168356007,28/10/2021 12:01:00,L
26/10/2021 01:00:00,26/10/2021,"NTS Energy Offtaken, Storage Injection Total",29360892,27/10/2021 12:01:00,L
25/10/2021 01:00:00,25/10/2021,"NTS Energy Offtaken, Storage Injection Total",6988769,26/10/2021 12:01:00,L
24/10/2021 01:00:00,24/10/2021,"NTS Energy Offtaken, Storage Injection Total",185737145,25/10/2021 12:01:00,L
23/10/2021 01:00:00,23/10/2021,"NTS Energy Offtaken, Storage Injection Total",0,24/10/2021 12:01:00,L
22/10/2021 01:00:00,22/10/2021,"NTS Energy Offtaken, Storage Injection Total",0,23/10/2021 12:01:01,L
21/10/2021 01:00:00,21/10/2021,"NTS Energy Offtaken, Storage Injection Total",0,22/10/2021 12:01:01,L
20/10/2021 01:00:00,20/10/2021,"NTS Energy Offtaken, Storage Injection Total",20074722,21/10/2021 12:01:01,L
19/10/2021 01:00:00,19/10/2021,"NTS Energy Offtaken, Storage Injection Total",162784789,20/10/2021 12:01:00,L
18/10/2021 01:00:00,18/10/2021,"NTS Energy Offtaken, Storage Injection Total",15572044,19/10/2021 12:01:01,L
17/10/2021 01:00:00,17/10/2021,"NTS Energy Offtaken, Storage Injection Total",151685266,18/10/2021 12:01:01,L
16/10/2021 01:00:00,16/10/2021,"NTS Energy Offtaken, Storage Injection Total",37758865,17/10/2021 12:01:01,L
15/10/2021 01:00:00,15/10/2021,"NTS Energy Offtaken, Storage Injection Total",35001996,16/10/2021 12:01:01,L
14/10/2021 01:00:00,14/10/2021,"NTS Energy Offtaken, Storage Injection Total",14639276,15/10/2021 12:01:00,L
13/10/2021 01:00:00,13/10/2021,"NTS Energy Offtaken, Storage Injection Total",82562736,14/10/2021 12:01:01,L
12/10/2021 01:00:00,12/10/2021,"NTS Energy Offtaken, Storage Injection Total",38048465,13/10/2021 13:42:00,L
11/10/2021 01:00:00,11/10/2021,"NTS Energy Offtaken, Storage Injection Total",19838138,12/10/2021 12:01:01,L
10/10/2021 01:00:00,10/10/2021,"NTS Energy Offtaken, Storage Injection Total",218812128,11/10/2021 12:01:01,L
09/10/2021 01:00:00,09/10/2021,"NTS Energy Offtaken, Storage Injection Total",158636684,10/10/2021 12:01:00,L
08/10/2021 01:00:00,08/10/2021,"NTS Energy Offtaken, Storage Injection Total",61771411,09/10/2021 12:01:01,L
07/10/2021 01:00:00,07/10/2021,"NTS Energy Offtaken, Storage Injection Total",67592401,08/10/2021 12:01:01,L
06/10/2021 01:00:00,06/10/2021,"NTS Energy Offtaken, Storage Injection Total",24399980,07/10/2021 12:01:01,L
05/10/2021 01:00:00,05/10/2021,"NTS Energy Offtaken, Storage Injection Total",20100020,06/10/2021 12:01:00,L
04/10/2021 01:00:00,04/10/2021,"NTS Energy Offtaken, Storage Injection Total",26600000,05/10/2021 12:01:01,L
03/10/2021 01:00:00,03/10/2021,"NTS Energy Offtaken, Storage Injection Total",232193880,04/10/2021 12:01:00,L
02/10/2021 01:00:00,02/10/2021,"NTS Energy Offtaken, Storage Injection Total",184883225,03/10/2021 12:01:01,L
01/10/2021 01:00:00,01/10/2021,"NTS Energy Offtaken, Storage Injection Total",73212423,02/10/2021 12:01:01,L
30/09/2021 01:00:00,30/09/2021,"NTS Energy Offtaken, Storage Injection Total",51854167,01/10/2021 12:01:00,L
29/09/2021 01:00:00,29/09/2021,"NTS Energy Offtaken, Storage Injection Total",52027500,30/09/2021 12:01:01,L
28/09/2021 01:00:00,28/09/2021,"NTS Energy Offtaken, Storage Injection Total",26530982,29/09/2021 12:01:01,L
27/09/2021 01:00:00,27/09/2021,"NTS Energy Offtaken, Storage Injection Total",126498779,28/09/2021 12:01:01,L
26/09/2021 01:00:00,26/09/2021,"NTS Energy Offtaken, Storage Injection Total",314615126,27/09/2021 12:01:01,L
25/09/2021 01:00:00,25/09/2021,"NTS Energy Offtaken, Storage Injection Total",248339008,26/09/2021 12:01:00,L
24/09/2021 01:00:00,24/09/2021,"NTS Energy Offtaken, Storage Injection Total",255856579,25/09/2021 12:01:00,L
23/09/2021 01:00:00,23/09/2021,"NTS Energy Offtaken, Storage Injection Total",191673825,24/09/2021 12:01:01,L
22/09/2021 01:00:00,22/09/2021,"NTS Energy Offtaken, Storage Injection Total",157403763,23/09/2021 12:01:01,L
21/09/2021 01:00:00,21/09/2021,"NTS Energy Offtaken, Storage Injection Total",56473885,22/09/2021 12:01:00,L
20/09/2021 01:00:00,20/09/2021,"NTS Energy Offtaken, Storage Injection Total",22593636,21/09/2021 12:01:01,L
19/09/2021 01:00:00,19/09/2021,"NTS Energy Offtaken, Storage Injection Total",143662553,20/09/2021 13:01:01,L
18/09/2021 01:00:00,18/09/2021,"NTS Energy Offtaken, Storage Injection Total",178660691,19/09/2021 12:01:01,L
17/09/2021 01:00:00,17/09/2021,"NTS Energy Offtaken, Storage Injection Total",181327149,18/09/2021 12:01:00,L
16/09/2021 01:00:00,16/09/2021,"NTS Energy Offtaken, Storage Injection Total",296700086,17/09/2021 12:01:01,L
15/09/2021 01:00:00,15/09/2021,"NTS Energy Offtaken, Storage Injection Total",94036052,16/09/2021 12:01:01,L
14/09/2021 01:00:00,14/09/2021,"NTS Energy Offtaken, Storage Injection Total",14116870,15/09/2021 12:01:00,L
13/09/2021 01:00:00,13/09/2021,"NTS Energy Offtaken, Storage Injection Total",25369920,14/09/2021 12:01:01,L
12/09/2021 01:00:00,12/09/2021,"NTS Energy Offtaken, Storage Injection Total",107429742,13/09/2021 12:01:01,L
11/09/2021 01:00:00,11/09/2021,"NTS Energy Offtaken, Storage Injection Total",223384556,12/09/2021 12:01:01,L
10/09/2021 01:00:00,10/09/2021,"NTS Energy Offtaken, Storage Injection Total",105705324,11/09/2021 12:01:01,L
09/09/2021 01:00:00,09/09/2021,"NTS Energy Offtaken, Storage Injection Total",28479671,10/09/2021 12:01:00,L
08/09/2021 01:00:00,08/09/2021,"NTS Energy Offtaken, Storage Injection Total",29262538,09/09/2021 12:01:01,L
07/09/2021 01:00:00,07/09/2021,"NTS Energy Offtaken, Storage Injection Total",107569677,08/09/2021 12:01:00,L
06/09/2021 01:00:00,06/09/2021,"NTS Energy Offtaken, Storage Injection Total",31485553,07/09/2021 12:01:01,L
05/09/2021 01:00:00,05/09/2021,"NTS Energy Offtaken, Storage Injection Total",160891607,06/09/2021 12:01:00,L
04/09/2021 01:00:00,04/09/2021,"NTS Energy Offtaken, Storage Injection Total",87745211,05/09/2021 12:01:00,L
03/09/2021 01:00:00,03/09/2021,"NTS Energy Offtaken, Storage Injection Total",33428160,04/09/2021 12:01:01,L
02/09/2021 01:00:00,02/09/2021,"NTS Energy Offtaken, Storage Injection Total",48845958,03/09/2021 12:01:00,L
01/09/2021 01:00:00,01/09/2021,"NTS Energy Offtaken, Storage Injection Total",106777602,02/09/2021 12:01:01,L
31/08/2021 01:00:00,31/08/2021,"NTS Energy Offtaken, Storage Injection Total",203884531,01/09/2021 12:01:01,L
30/08/2021 01:00:00,30/08/2021,"NTS Energy Offtaken, Storage Injection Total",275121221,31/08/2021 12:01:00,L
29/08/2021 01:00:00,29/08/2021,"NTS Energy Offtaken, Storage Injection Total",462977723,30/08/2021 12:01:01,L
28/08/2021 01:00:00,28/08/2021,"NTS Energy Offtaken, Storage Injection Total",346434369,29/08/2021 12:01:00,L
27/08/2021 01:00:00,27/08/2021,"NTS Energy Offtaken, Storage Injection Total",208435679,29/08/2021 12:01:00,A
26/08/2021 01:00:00,26/08/2021,"NTS Energy Offtaken, Storage Injection Total",291706602,27/08/2021 12:01:00,L
25/08/2021 01:00:00,25/08/2021,"NTS Energy Offtaken, Storage Injection Total",196585570,26/08/2021 12:01:00,L
24/08/2021 01:00:00,24/08/2021,"NTS Energy Offtaken, Storage Injection Total",261114354,25/08/2021 12:01:01,L
23/08/2021 01:00:00,23/08/2021,"NTS Energy Offtaken, Storage Injection Total",134122807,24/08/2021 12:01:00,L
22/08/2021 01:00:00,22/08/2021,"NTS Energy Offtaken, Storage Injection Total",208563027,23/08/2021 12:01:01,L
21/08/2021 01:00:00,21/08/2021,"NTS Energy Offtaken, Storage Injection Total",187836658,22/08/2021 12:01:01,L
20/08/2021 01:00:00,20/08/2021,"NTS Energy Offtaken, Storage Injection Total",79923922,21/08/2021 12:01:01,L
19/08/2021 01:00:00,19/08/2021,"NTS Energy Offtaken, Storage Injection Total",131313059,20/08/2021 12:01:01,L
18/08/2021 01:00:00,18/08/2021,"NTS Energy Offtaken, Storage Injection Total",98107934,19/08/2021 12:01:01,L
17/08/2021 01:00:00,17/08/2021,"NTS Energy Offtaken, Storage Injection Total",199191880,18/08/2021 12:01:01,L
16/08/2021 01:00:00,16/08/2021,"NTS Energy Offtaken, Storage Injection Total",418590350,17/08/2021 12:01:01,L
15/08/2021 01:00:00,15/08/2021,"NTS Energy Offtaken, Storage Injection Total",387612998,16/08/2021 12:01:01,L
14/08/2021 01:00:00,14/08/2021,"NTS Energy Offtaken, Storage Injection Total",366178416,15/08/2021 12:01:01,L
13/08/2021 01:00:00,13/08/2021,"NTS Energy Offtaken, Storage Injection Total",573794291,14/08/2021 12:01:00,L
12/08/2021 01:00:00,12/08/2021,"NTS Energy Offtaken, Storage Injection Total",421663793,13/08/2021 12:01:00,L
11/08/2021 01:00:00,11/08/2021,"NTS Energy Offtaken, Storage Injection Total",337065232,12/08/2021 12:01:01,L
10/08/2021 01:00:00,10/08/2021,"NTS Energy Offtaken, Storage Injection Total",128175590,11/08/2021 12:01:00,L
09/08/2021 01:00:00,09/08/2021,"NTS Energy Offtaken, Storage Injection Total",125352039,10/08/2021 12:01:00,L
08/08/2021 01:00:00,08/08/2021,"NTS Energy Offtaken, Storage Injection Total",465839849,09/08/2021 12:01:00,L
07/08/2021 01:00:00,07/08/2021,"NTS Energy Offtaken, Storage Injection Total",467897768,09/08/2021 12:01:00,A
06/08/2021 01:00:00,06/08/2021,"NTS Energy Offtaken, Storage Injection Total",428742537,07/08/2021 12:01:00,L
05/08/2021 01:00:00,05/08/2021,"NTS Energy Offtaken, Storage Injection Total",506908306,06/08/2021 12:01:00,L
04/08/2021 01:00:00,04/08/2021,"NTS Energy Offtaken, Storage Injection Total",101239803,05/08/2021 12:01:01,L
03/08/2021 01:00:00,03/08/2021,"NTS Energy Offtaken, Storage Injection Total",113361536,04/08/2021 12:01:00,L
02/08/2021 01:00:00,02/08/2021,"NTS Energy Offtaken, Storage Injection Total",60248234,03/08/2021 12:01:01,L
01/08/2021 01:00:00,01/08/2021,"NTS Energy Offtaken, Storage Injection Total",283616311,02/08/2021 12:01:01,L
31/07/2021 01:00:00,31/07/2021,"NTS Energy Offtaken, Storage Injection Total",417132146,01/08/2021 12:01:01,L
30/07/2021 01:00:00,30/07/2021,"NTS Energy Offtaken, Storage Injection Total",321942072,31/07/2021 12:01:01,L
29/07/2021 01:00:00,29/07/2021,"NTS Energy Offtaken, Storage Injection Total",385265714,31/07/2021 12:01:01,A
28/07/2021 01:00:00,28/07/2021,"NTS Energy Offtaken, Storage Injection Total",242803228,29/07/2021 12:01:00,L
27/07/2021 01:00:00,27/07/2021,"NTS Energy Offtaken, Storage Injection Total",34376490,28/07/2021 12:01:01,L
26/07/2021 01:00:00,26/07/2021,"NTS Energy Offtaken, Storage Injection Total",41086346,27/07/2021 12:01:01,L
25/07/2021 01:00:00,25/07/2021,"NTS Energy Offtaken, Storage Injection Total",82435003,26/07/2021 12:01:00,L
24/07/2021 01:00:00,24/07/2021,"NTS Energy Offtaken, Storage Injection Total",83824267,25/07/2021 12:01:00,L
23/07/2021 01:00:00,23/07/2021,"NTS Energy Offtaken, Storage Injection Total",42814770,24/07/2021 12:01:01,L
22/07/2021 01:00:00,22/07/2021,"NTS Energy Offtaken, Storage Injection Total",45573056,23/07/2021 12:01:00,L
21/07/2021 01:00:00,21/07/2021,"NTS Energy Offtaken, Storage Injection Total",44389883,22/07/2021 12:01:01,L
20/07/2021 01:00:00,20/07/2021,"NTS Energy Offtaken, Storage Injection Total",45867762,21/07/2021 12:01:01,L
19/07/2021 01:00:00,19/07/2021,"NTS Energy Offtaken, Storage Injection Total",107696306,20/07/2021 12:01:01,L
18/07/2021 01:00:00,18/07/2021,"NTS Energy Offtaken, Storage Injection Total",286648881,19/07/2021 12:01:00,L
17/07/2021 01:00:00,17/07/2021,"NTS Energy Offtaken, Storage Injection Total",256617209,18/07/2021 12:01:01,L
16/07/2021 01:00:00,16/07/2021,"NTS Energy Offtaken, Storage Injection Total",182329672,17/07/2021 12:01:01,L
15/07/2021 01:00:00,15/07/2021,"NTS Energy Offtaken, Storage Injection Total",170805225,16/07/2021 12:01:01,L
14/07/2021 01:00:00,14/07/2021,"NTS Energy Offtaken, Storage Injection Total",204312528,15/07/2021 12:01:01,L
13/07/2021 01:00:00,13/07/2021,"NTS Energy Offtaken, Storage Injection Total",18312455,14/07/2021 12:01:01,L
12/07/2021 01:00:00,12/07/2021,"NTS Energy Offtaken, Storage Injection Total",27121869,13/07/2021 12:01:01,L
11/07/2021 01:00:00,11/07/2021,"NTS Energy Offtaken, Storage Injection Total",349286944,12/07/2021 16:01:00,A
