Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
11/11/2021 05:16:20,10/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",385861617,11/11/2021 11:30:00,
10/11/2021 05:16:08,09/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",347415843,10/11/2021 11:30:00,
09/11/2021 05:16:25,08/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",179329245,09/11/2021 11:30:00,
08/11/2021 05:16:23,07/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",442350638,08/11/2021 11:30:00,
07/11/2021 05:16:18,06/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",386469369,07/11/2021 11:30:00,
06/11/2021 05:16:13,05/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",165600000,06/11/2021 11:30:00,
05/11/2021 05:16:21,04/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",172388889,05/11/2021 11:30:00,
04/11/2021 05:16:11,03/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",166235210,04/11/2021 11:30:00,
03/11/2021 05:16:23,02/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",182562107,03/11/2021 11:30:00,
02/11/2021 05:16:15,01/11/2021,"NTS Energy Offtaken, Interconnector Exports Total",411033961,02/11/2021 11:30:00,
01/11/2021 05:16:14,31/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",593951948,01/11/2021 11:30:00,
31/10/2021 05:16:11,30/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",603806246,31/10/2021 11:30:00,
30/10/2021 06:16:20,29/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",512771348,30/10/2021 11:30:00,
29/10/2021 06:16:13,28/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",709038192,29/10/2021 11:30:00,
28/10/2021 06:16:21,27/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",682405956,28/10/2021 11:30:00,
27/10/2021 06:16:22,26/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",664558012,27/10/2021 11:30:00,
26/10/2021 06:16:17,25/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",687791884,26/10/2021 11:30:00,
25/10/2021 06:16:15,24/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",489719751,25/10/2021 11:30:00,
24/10/2021 06:16:12,23/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",467061777,24/10/2021 11:30:00,
23/10/2021 06:16:12,22/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",505169344,23/10/2021 11:30:00,
22/10/2021 09:03:04,21/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",658025327,22/10/2021 11:30:00,
21/10/2021 06:16:09,20/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",700792338,21/10/2021 11:30:00,
20/10/2021 06:16:07,19/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",802866378,20/10/2021 11:30:00,
19/10/2021 06:16:16,18/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",671550326,19/10/2021 11:30:00,
18/10/2021 06:16:08,17/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",610417162,18/10/2021 11:30:00,
17/10/2021 06:16:07,16/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",473266930,17/10/2021 11:30:00,
16/10/2021 06:16:18,15/10/2021,"NTS Energy Offtaken, Interconnector Exports Total",525437817,16/10/2021 11:30:00,
