Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
11/11/2021 00:00:00,11/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",77556774,12/11/2021 14:01:00,A
10/11/2021 00:00:00,10/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",83933411,11/11/2021 16:01:01,A
09/11/2021 00:00:00,09/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",74546124,10/11/2021 14:01:00,A
08/11/2021 00:00:00,08/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",75592658,09/11/2021 14:01:00,A
07/11/2021 00:00:00,07/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",61003716,08/11/2021 14:01:01,A
06/11/2021 00:00:00,06/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",58117833,08/11/2021 12:01:00,A
05/11/2021 00:00:00,05/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",74997542,06/11/2021 14:01:01,A
04/11/2021 00:00:00,04/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",74308703,08/11/2021 12:01:00,A
03/11/2021 00:00:00,03/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",81180776,04/11/2021 16:01:00,A
02/11/2021 00:00:00,02/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",88951716,05/11/2021 12:01:01,A
01/11/2021 00:00:00,01/11/2021,"NTS Energy Offtaken, Industrial Offtake Total",67785540,02/11/2021 16:01:01,A
31/10/2021 01:00:00,31/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",57677151,02/11/2021 12:01:00,A
30/10/2021 01:00:00,30/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",66378416,01/11/2021 12:01:00,A
29/10/2021 01:00:00,29/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",74243185,01/11/2021 14:01:00,A
28/10/2021 01:00:00,28/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",74230357,29/10/2021 16:01:00,A
27/10/2021 01:00:00,27/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",73215349,28/10/2021 14:01:01,A
26/10/2021 01:00:00,26/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",68717730,28/10/2021 14:01:01,A
25/10/2021 01:00:00,25/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",66250507,28/10/2021 16:01:00,A
24/10/2021 01:00:00,24/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",64070453,26/10/2021 12:01:00,A
23/10/2021 01:00:00,23/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",64883849,25/10/2021 12:01:00,A
22/10/2021 01:00:00,22/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",67441637,24/10/2021 12:01:00,A
21/10/2021 01:00:00,21/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",64408167,26/10/2021 12:01:00,A
20/10/2021 01:00:00,20/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",62906719,21/10/2021 14:01:01,A
19/10/2021 01:00:00,19/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",60417842,22/10/2021 12:01:01,A
18/10/2021 01:00:00,18/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",61653178,19/10/2021 14:01:00,A
17/10/2021 01:00:00,17/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",63123510,18/10/2021 14:01:01,A
16/10/2021 01:00:00,16/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",65344719,19/10/2021 14:01:00,A
15/10/2021 01:00:00,15/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",66989828,17/10/2021 12:01:01,A
14/10/2021 01:00:00,14/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",62486899,18/10/2021 16:01:00,A
13/10/2021 01:00:00,13/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",63842173,18/10/2021 14:01:01,A
12/10/2021 01:00:00,12/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",67850270,13/10/2021 16:01:01,A
11/10/2021 01:00:00,11/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",61779274,12/10/2021 14:01:01,A
10/10/2021 01:00:00,10/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",61151368,12/10/2021 12:01:01,A
09/10/2021 01:00:00,09/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",66505582,11/10/2021 12:01:01,A
08/10/2021 01:00:00,08/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",64658665,11/10/2021 14:01:00,A
07/10/2021 01:00:00,07/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",66514251,11/10/2021 14:01:00,A
06/10/2021 01:00:00,06/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",67897804,07/10/2021 14:01:00,A
05/10/2021 01:00:00,05/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",62647759,06/10/2021 16:01:01,A
04/10/2021 01:00:00,04/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",64714242,05/10/2021 16:01:01,A
03/10/2021 01:00:00,03/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",57544387,05/10/2021 16:01:01,A
02/10/2021 01:00:00,02/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",58404787,05/10/2021 16:01:01,A
01/10/2021 01:00:00,01/10/2021,"NTS Energy Offtaken, Industrial Offtake Total",60858490,05/10/2021 16:01:01,A
30/09/2021 01:00:00,30/09/2021,"NTS Energy Offtaken, Industrial Offtake Total",58820477,01/10/2021 14:01:01,A
29/09/2021 01:00:00,29/09/2021,"NTS Energy Offtaken, Industrial Offtake Total",58657651,01/10/2021 12:01:00,A
28/09/2021 01:00:00,28/09/2021,"NTS Energy Offtaken, Industrial Offtake Total",58995366,30/09/2021 12:01:01,A
27/09/2021 01:00:00,27/09/2021,"NTS Energy Offtaken, Industrial Offtake Total",53653690,28/09/2021 14:01:01,A
26/09/2021 01:00:00,26/09/2021,"NTS Energy Offtaken, Industrial Offtake Total",53076795,28/09/2021 14:01:01,A
25/09/2021 01:00:00,25/09/2021,"NTS Energy Offtaken, Industrial Offtake Total",52330512,27/09/2021 12:01:01,A
24/09/2021 01:00:00,24/09/2021,"NTS Energy Offtaken, Industrial Offtake Total",48640755,28/09/2021 14:01:01,A
23/09/2021 01:00:00,23/09/2021,"NTS Energy Offtaken, Industrial Offtake Total",43906122,27/09/2021 12:01:01,A
