Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
09/11/2021 00:00:00,09/11/2021,"NTS Energy Offtaken, Powerstations Total",650787133,10/11/2021 12:01:01,A
08/11/2021 00:00:00,08/11/2021,"NTS Energy Offtaken, Powerstations Total",676581343,09/11/2021 12:01:01,L
07/11/2021 00:00:00,07/11/2021,"NTS Energy Offtaken, Powerstations Total",318464038,08/11/2021 12:01:00,A
06/11/2021 00:00:00,06/11/2021,"NTS Energy Offtaken, Powerstations Total",237615175,08/11/2021 16:01:00,A
05/11/2021 00:00:00,05/11/2021,"NTS Energy Offtaken, Powerstations Total",615249713,08/11/2021 14:01:01,A
04/11/2021 00:00:00,04/11/2021,"NTS Energy Offtaken, Powerstations Total",567544918,05/11/2021 14:01:01,A
03/11/2021 00:00:00,03/11/2021,"NTS Energy Offtaken, Powerstations Total",690117849,05/11/2021 14:01:01,A
02/11/2021 00:00:00,02/11/2021,"NTS Energy Offtaken, Powerstations Total",832745312,05/11/2021 14:01:01,A
01/11/2021 00:00:00,01/11/2021,"NTS Energy Offtaken, Powerstations Total",419598066,03/11/2021 12:01:01,A
31/10/2021 01:00:00,31/10/2021,"NTS Energy Offtaken, Powerstations Total",221333228,01/11/2021 14:01:00,A
30/10/2021 01:00:00,30/10/2021,"NTS Energy Offtaken, Powerstations Total",328090137,01/11/2021 14:01:00,A
29/10/2021 01:00:00,29/10/2021,"NTS Energy Offtaken, Powerstations Total",404661699,01/11/2021 14:01:00,A
28/10/2021 01:00:00,28/10/2021,"NTS Energy Offtaken, Powerstations Total",396664944,29/10/2021 12:01:01,A
27/10/2021 01:00:00,27/10/2021,"NTS Energy Offtaken, Powerstations Total",359645051,28/10/2021 14:01:01,A
26/10/2021 01:00:00,26/10/2021,"NTS Energy Offtaken, Powerstations Total",410945985,29/10/2021 16:01:00,A
25/10/2021 01:00:00,25/10/2021,"NTS Energy Offtaken, Powerstations Total",510070206,29/10/2021 16:01:00,A
24/10/2021 01:00:00,24/10/2021,"NTS Energy Offtaken, Powerstations Total",228397409,27/10/2021 16:01:01,A
23/10/2021 01:00:00,23/10/2021,"NTS Energy Offtaken, Powerstations Total",391709847,26/10/2021 12:01:00,A
22/10/2021 01:00:00,22/10/2021,"NTS Energy Offtaken, Powerstations Total",625431190,26/10/2021 12:01:00,A
21/10/2021 01:00:00,21/10/2021,"NTS Energy Offtaken, Powerstations Total",335872507,22/10/2021 12:01:01,A
20/10/2021 01:00:00,20/10/2021,"NTS Energy Offtaken, Powerstations Total",420688522,21/10/2021 14:01:01,A
19/10/2021 01:00:00,19/10/2021,"NTS Energy Offtaken, Powerstations Total",374733890,21/10/2021 12:01:01,A
18/10/2021 01:00:00,18/10/2021,"NTS Energy Offtaken, Powerstations Total",519077781,19/10/2021 12:01:01,A
17/10/2021 01:00:00,17/10/2021,"NTS Energy Offtaken, Powerstations Total",464236938,18/10/2021 12:01:01,A
16/10/2021 01:00:00,16/10/2021,"NTS Energy Offtaken, Powerstations Total",626229752,17/10/2021 12:01:01,A
15/10/2021 01:00:00,15/10/2021,"NTS Energy Offtaken, Powerstations Total",750896884,16/10/2021 12:01:01,A
14/10/2021 01:00:00,14/10/2021,"NTS Energy Offtaken, Powerstations Total",449983511,15/10/2021 14:01:01,A
13/10/2021 01:00:00,13/10/2021,"NTS Energy Offtaken, Powerstations Total",655863560,14/10/2021 14:01:01,A
12/10/2021 01:00:00,12/10/2021,"NTS Energy Offtaken, Powerstations Total",701759601,14/10/2021 14:01:01,A
11/10/2021 01:00:00,11/10/2021,"NTS Energy Offtaken, Powerstations Total",633918831,13/10/2021 14:01:01,A
10/10/2021 01:00:00,10/10/2021,"NTS Energy Offtaken, Powerstations Total",443630157,11/10/2021 12:01:01,A
09/10/2021 01:00:00,09/10/2021,"NTS Energy Offtaken, Powerstations Total",608519510,10/10/2021 12:01:00,A
08/10/2021 01:00:00,08/10/2021,"NTS Energy Offtaken, Powerstations Total",675246279,09/10/2021 12:01:01,A
07/10/2021 01:00:00,07/10/2021,"NTS Energy Offtaken, Powerstations Total",568194204,08/10/2021 14:01:00,A
06/10/2021 01:00:00,06/10/2021,"NTS Energy Offtaken, Powerstations Total",558590729,07/10/2021 12:01:01,A
05/10/2021 01:00:00,05/10/2021,"NTS Energy Offtaken, Powerstations Total",375774173,06/10/2021 13:01:01,A
04/10/2021 01:00:00,04/10/2021,"NTS Energy Offtaken, Powerstations Total",510818271,05/10/2021 12:01:01,A
03/10/2021 01:00:00,03/10/2021,"NTS Energy Offtaken, Powerstations Total",220414974,06/10/2021 16:01:01,A
02/10/2021 01:00:00,02/10/2021,"NTS Energy Offtaken, Powerstations Total",344591338,05/10/2021 14:01:00,A
01/10/2021 01:00:00,01/10/2021,"NTS Energy Offtaken, Powerstations Total",305013239,06/10/2021 16:01:01,A
30/09/2021 01:00:00,30/09/2021,"NTS Energy Offtaken, Powerstations Total",392307542,01/10/2021 12:01:00,A
29/09/2021 01:00:00,29/09/2021,"NTS Energy Offtaken, Powerstations Total",425746675,30/09/2021 12:01:01,A
28/09/2021 01:00:00,28/09/2021,"NTS Energy Offtaken, Powerstations Total",521921239,30/09/2021 12:01:01,A
27/09/2021 01:00:00,27/09/2021,"NTS Energy Offtaken, Powerstations Total",334582321,28/09/2021 14:01:01,A
26/09/2021 01:00:00,26/09/2021,"NTS Energy Offtaken, Powerstations Total",298580051,27/09/2021 12:01:01,A
25/09/2021 01:00:00,25/09/2021,"NTS Energy Offtaken, Powerstations Total",561867320,27/09/2021 12:01:01,A
24/09/2021 01:00:00,24/09/2021,"NTS Energy Offtaken, Powerstations Total",415332287,27/09/2021 12:01:01,A
23/09/2021 01:00:00,23/09/2021,"NTS Energy Offtaken, Powerstations Total",456277500,24/09/2021 12:01:01,A
22/09/2021 01:00:00,22/09/2021,"NTS Energy Offtaken, Powerstations Total",459067381,23/09/2021 14:01:01,A
21/09/2021 01:00:00,21/09/2021,"NTS Energy Offtaken, Powerstations Total",644876739,23/09/2021 16:01:01,A
20/09/2021 01:00:00,20/09/2021,"NTS Energy Offtaken, Powerstations Total",664122432,21/09/2021 14:01:01,A
19/09/2021 01:00:00,19/09/2021,"NTS Energy Offtaken, Powerstations Total",641759291,21/09/2021 12:01:01,A
