Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2025 05:16,30/12/2025,"NTS Energy Offtaken, Interconnector Exports Total",241122222,31/12/2025 11:30,
31/12/2025 00:00,31/12/2025,"NTS Energy Offtaken, Industrial Offtake Total",24793292,02/01/2026 12:01,A
31/12/2025 00:00,31/12/2025,"NTS Energy Offtaken, LDZ Offtake Total",2386293379,02/01/2026 14:01,A
31/12/2025 00:00,31/12/2025,"NTS Energy Offtaken, Powerstations Total",372102308,04/01/2026 12:01,A
31/12/2025 00:00,31/12/2025,"NTS Energy Offtaken, Storage Injection Total",122209786,02/01/2026 14:01,A
30/12/2025 05:16,29/12/2025,"NTS Energy Offtaken, Interconnector Exports Total",250299257,30/12/2025 11:30,
30/12/2025 00:00,30/12/2025,"NTS Energy Offtaken, Industrial Offtake Total",31593325,02/01/2026 14:01,A
30/12/2025 00:00,30/12/2025,"NTS Energy Offtaken, LDZ Offtake Total",2178503314,02/01/2026 14:01,A
30/12/2025 00:00,30/12/2025,"NTS Energy Offtaken, Powerstations Total",543502795,31/12/2025 14:01,A
30/12/2025 00:00,30/12/2025,"NTS Energy Offtaken, Storage Injection Total",29748340,31/12/2025 12:01,L
29/12/2025 05:16,28/12/2025,"NTS Energy Offtaken, Interconnector Exports Total",241457297,29/12/2025 11:30,
29/12/2025 00:00,29/12/2025,"NTS Energy Offtaken, Industrial Offtake Total",23654911,31/12/2025 12:01,A
29/12/2025 00:00,29/12/2025,"NTS Energy Offtaken, LDZ Offtake Total",2081926705,30/12/2025 16:01,A
29/12/2025 00:00,29/12/2025,"NTS Energy Offtaken, Powerstations Total",526031923,30/12/2025 16:01,A
29/12/2025 00:00,29/12/2025,"NTS Energy Offtaken, Storage Injection Total",97503497,30/12/2025 12:01,L
28/12/2025 05:16,27/12/2025,"NTS Energy Offtaken, Interconnector Exports Total",212487125,28/12/2025 11:30,
28/12/2025 00:00,28/12/2025,"NTS Energy Offtaken, Industrial Offtake Total",22769237,31/12/2025 12:01,A
28/12/2025 00:00,28/12/2025,"NTS Energy Offtaken, LDZ Offtake Total",1946330828,31/12/2025 16:01,A
28/12/2025 00:00,28/12/2025,"NTS Energy Offtaken, Powerstations Total",578344294,30/12/2025 12:01,A
28/12/2025 00:00,28/12/2025,"NTS Energy Offtaken, Storage Injection Total",0,29/12/2025 12:01,L
27/12/2025 08:28,26/12/2025,"NTS Energy Offtaken, Interconnector Exports Total",220585954,27/12/2025 11:30,
27/12/2025 00:00,27/12/2025,"NTS Energy Offtaken, Industrial Offtake Total",22653558,31/12/2025 12:01,A
27/12/2025 00:00,27/12/2025,"NTS Energy Offtaken, LDZ Offtake Total",2019086267,31/12/2025 16:01,A
27/12/2025 00:00,27/12/2025,"NTS Energy Offtaken, Powerstations Total",256394512,30/12/2025 14:01,A
27/12/2025 00:00,27/12/2025,"NTS Energy Offtaken, Storage Injection Total",39647941,28/12/2025 12:01,L
26/12/2025 05:16,25/12/2025,"NTS Energy Offtaken, Interconnector Exports Total",235848472,26/12/2025 11:30,
26/12/2025 00:00,26/12/2025,"NTS Energy Offtaken, Industrial Offtake Total",24019446,31/12/2025 12:01,A
26/12/2025 00:00,26/12/2025,"NTS Energy Offtaken, LDZ Offtake Total",2055145592,29/12/2025 14:01,A
