Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2024 05:16,30/12/2024,"NTS Energy Offtaken, Interconnector Exports Total",153888889,31/12/2024 11:30,
31/12/2024 00:00,31/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",39466330,02/01/2025 14:01,A
31/12/2024 00:00,31/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1666521791,03/01/2025 16:01,A
31/12/2024 00:00,31/12/2024,"NTS Energy Offtaken, Powerstations Total",189035087,02/01/2025 14:01,A
31/12/2024 00:00,31/12/2024,"NTS Energy Offtaken, Storage Injection Total",410149036,01/01/2025 12:01,L
30/12/2024 05:16,29/12/2024,"NTS Energy Offtaken, Interconnector Exports Total",149366667,30/12/2024 11:30,
30/12/2024 00:00,30/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",43001674,31/12/2024 12:01,L
30/12/2024 00:00,30/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1719993444,02/01/2025 14:01,A
30/12/2024 00:00,30/12/2024,"NTS Energy Offtaken, Powerstations Total",203576194,31/12/2024 16:01,A
30/12/2024 00:00,30/12/2024,"NTS Energy Offtaken, Storage Injection Total",382914130,31/12/2024 12:01,L
29/12/2024 05:16,28/12/2024,"NTS Energy Offtaken, Interconnector Exports Total",188077778,29/12/2024 11:30,
29/12/2024 00:00,29/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",39616655,31/12/2024 14:01,A
29/12/2024 00:00,29/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1773689521,30/12/2024 16:01,A
29/12/2024 00:00,29/12/2024,"NTS Energy Offtaken, Powerstations Total",240449166,31/12/2024 14:01,A
29/12/2024 00:00,29/12/2024,"NTS Energy Offtaken, Storage Injection Total",251012683,30/12/2024 12:01,L
28/12/2024 05:16,27/12/2024,"NTS Energy Offtaken, Interconnector Exports Total",222711111,28/12/2024 11:30,
28/12/2024 00:00,28/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",42887278,31/12/2024 14:01,A
28/12/2024 00:00,28/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1867730370,30/12/2024 16:01,A
28/12/2024 00:00,28/12/2024,"NTS Energy Offtaken, Powerstations Total",555505173,31/12/2024 14:01,A
28/12/2024 00:00,28/12/2024,"NTS Energy Offtaken, Storage Injection Total",0,29/12/2024 12:01,L
27/12/2024 08:29,26/12/2024,"NTS Energy Offtaken, Interconnector Exports Total",204894444,27/12/2024 11:30,
27/12/2024 00:00,27/12/2024,"NTS Energy Offtaken, Industrial Offtake Total",42432748,31/12/2024 14:01,A
27/12/2024 00:00,27/12/2024,"NTS Energy Offtaken, LDZ Offtake Total",1850374546,30/12/2024 16:01,A
27/12/2024 00:00,27/12/2024,"NTS Energy Offtaken, Powerstations Total",703660705,31/12/2024 14:01,A
