Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
01/06/2020 08:50:05,31/05/2020,"NTS Energy Offtaken, Interconnector Exports Total",656184421,01/06/2020 11:30:00,
31/05/2020 06:16:12,30/05/2020,"NTS Energy Offtaken, Interconnector Exports Total",656541641,31/05/2020 11:30:00,
31/05/2020 01:00:00,31/05/2020,"NTS Energy Offtaken, Industrial Offtake Total",108727683,03/06/2020 17:02:14,A
31/05/2020 01:00:00,31/05/2020,"NTS Energy Offtaken, LDZ Offtake Total",550214414,02/06/2020 17:02:15,A
31/05/2020 01:00:00,31/05/2020,"NTS Energy Offtaken, Powerstations Total",243289599,02/06/2020 14:02:19,A
31/05/2020 01:00:00,31/05/2020,"NTS Energy Offtaken, Storage Injection Total",234964979,01/06/2020 12:02:16,L
30/05/2020 06:16:19,29/05/2020,"NTS Energy Offtaken, Interconnector Exports Total",689483718,30/05/2020 11:30:00,
30/05/2020 01:00:00,30/05/2020,"NTS Energy Offtaken, Industrial Offtake Total",107042313,03/06/2020 12:02:16,A
30/05/2020 01:00:00,30/05/2020,"NTS Energy Offtaken, LDZ Offtake Total",547863004,02/06/2020 14:02:19,A
30/05/2020 01:00:00,30/05/2020,"NTS Energy Offtaken, Powerstations Total",216883623,02/06/2020 14:02:19,A
30/05/2020 01:00:00,30/05/2020,"NTS Energy Offtaken, Storage Injection Total",259958455,31/05/2020 12:02:16,L
29/05/2020 06:16:12,28/05/2020,"NTS Energy Offtaken, Interconnector Exports Total",704358844,29/05/2020 11:30:00,
29/05/2020 01:00:00,29/05/2020,"NTS Energy Offtaken, Industrial Offtake Total",108296704,02/06/2020 14:02:19,A
29/05/2020 01:00:00,29/05/2020,"NTS Energy Offtaken, LDZ Offtake Total",582610591,02/06/2020 14:02:19,A
29/05/2020 01:00:00,29/05/2020,"NTS Energy Offtaken, Powerstations Total",287574310,02/06/2020 14:02:19,A
29/05/2020 01:00:00,29/05/2020,"NTS Energy Offtaken, Storage Injection Total",172818541,30/05/2020 12:02:16,L
28/05/2020 06:16:23,27/05/2020,"NTS Energy Offtaken, Interconnector Exports Total",740098365,28/05/2020 11:30:00,
28/05/2020 01:00:00,28/05/2020,"NTS Energy Offtaken, Industrial Offtake Total",177955415,01/06/2020 17:02:14,A
28/05/2020 01:00:00,28/05/2020,"NTS Energy Offtaken, LDZ Offtake Total",641187902,29/05/2020 12:02:16,L
28/05/2020 01:00:00,28/05/2020,"NTS Energy Offtaken, Powerstations Total",321919790,01/06/2020 12:02:16,A
28/05/2020 01:00:00,28/05/2020,"NTS Energy Offtaken, Storage Injection Total",49589098,30/05/2020 12:02:16,A
27/05/2020 06:16:18,26/05/2020,"NTS Energy Offtaken, Interconnector Exports Total",711256743,27/05/2020 11:30:00,
27/05/2020 01:00:00,27/05/2020,"NTS Energy Offtaken, Industrial Offtake Total",203904123,29/05/2020 12:02:16,A
27/05/2020 01:00:00,27/05/2020,"NTS Energy Offtaken, LDZ Offtake Total",668558977,28/05/2020 14:02:17,A
27/05/2020 01:00:00,27/05/2020,"NTS Energy Offtaken, Powerstations Total",475007454,29/05/2020 14:02:18,A
27/05/2020 01:00:00,27/05/2020,"NTS Energy Offtaken, Storage Injection Total",40269641,28/05/2020 12:02:16,L
26/05/2020 06:16:09,25/05/2020,"NTS Energy Offtaken, Interconnector Exports Total",671080460,26/05/2020 11:30:00,
26/05/2020 01:00:00,26/05/2020,"NTS Energy Offtaken, Industrial Offtake Total",144442942,27/05/2020 14:02:19,A
26/05/2020 01:00:00,26/05/2020,"NTS Energy Offtaken, LDZ Offtake Total",627496655,27/05/2020 17:02:15,A
26/05/2020 01:00:00,26/05/2020,"NTS Energy Offtaken, Powerstations Total",440812190,29/05/2020 14:02:18,A
26/05/2020 01:00:00,26/05/2020,"NTS Energy Offtaken, Storage Injection Total",48576171,27/05/2020 12:02:16,L
25/05/2020 01:00:00,25/05/2020,"NTS Energy Offtaken, Industrial Offtake Total",109231239,28/05/2020 14:02:17,A
25/05/2020 01:00:00,25/05/2020,"NTS Energy Offtaken, LDZ Offtake Total",649172418,27/05/2020 17:02:15,A
25/05/2020 01:00:00,25/05/2020,"NTS Energy Offtaken, Powerstations Total",288482756,28/05/2020 14:02:17,A
25/05/2020 01:00:00,25/05/2020,"NTS Energy Offtaken, Storage Injection Total",302894250,26/05/2020 12:02:45,L
