Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
31/12/2023 07:38,30/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",192515728,31/12/2023 11:30,
31/12/2023 00:00,31/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",49424232,01/01/2024 12:01,L
31/12/2023 00:00,31/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1731783683,04/01/2024 14:01,A
31/12/2023 00:00,31/12/2023,"NTS Energy Offtaken, Powerstations Total",200633717,02/01/2024 15:01,A
31/12/2023 00:00,31/12/2023,"NTS Energy Offtaken, Storage Injection Total",237874036,01/01/2024 12:01,L
30/12/2023 07:26,29/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",353528664,30/12/2023 11:30,
30/12/2023 00:00,30/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",39254200,02/01/2024 15:01,A
30/12/2023 00:00,30/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1735357170,04/01/2024 14:01,A
30/12/2023 00:00,30/12/2023,"NTS Energy Offtaken, Powerstations Total",130814745,02/01/2024 12:01,A
30/12/2023 00:00,30/12/2023,"NTS Energy Offtaken, Storage Injection Total",266688788,31/12/2023 12:01,L
29/12/2023 07:39,28/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",1503897215,29/12/2023 11:30,
29/12/2023 00:00,29/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",39170121,30/12/2023 14:01,A
29/12/2023 00:00,29/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1772807260,03/01/2024 12:01,A
29/12/2023 00:00,29/12/2023,"NTS Energy Offtaken, Powerstations Total",151697644,30/12/2023 12:01,A
29/12/2023 00:00,29/12/2023,"NTS Energy Offtaken, Storage Injection Total",292887271,30/12/2023 12:01,L
28/12/2023 07:32,27/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",474359344,28/12/2023 11:30,
28/12/2023 00:00,28/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",35032271,29/12/2023 14:01,A
28/12/2023 00:00,28/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1663705859,02/01/2024 15:01,A
28/12/2023 00:00,28/12/2023,"NTS Energy Offtaken, Powerstations Total",115501663,29/12/2023 12:01,A
28/12/2023 00:00,28/12/2023,"NTS Energy Offtaken, Storage Injection Total",251689477,29/12/2023 12:01,L
27/12/2023 07:51,26/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",457072101,27/12/2023 11:30,
27/12/2023 00:00,27/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",40023121,28/12/2023 14:01,A
27/12/2023 00:00,27/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1681201811,29/12/2023 14:01,A
27/12/2023 00:00,27/12/2023,"NTS Energy Offtaken, Powerstations Total",124688473,28/12/2023 12:01,A
27/12/2023 00:00,27/12/2023,"NTS Energy Offtaken, Storage Injection Total",238099248,28/12/2023 12:01,L
26/12/2023 06:59,25/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",440653035,26/12/2023 11:30,
26/12/2023 00:00,26/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",41967986,28/12/2023 16:01,A
26/12/2023 00:00,26/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1624067911,29/12/2023 12:01,A
26/12/2023 00:00,26/12/2023,"NTS Energy Offtaken, Powerstations Total",284586788,28/12/2023 16:01,A
26/12/2023 00:00,26/12/2023,"NTS Energy Offtaken, Storage Injection Total",114203711,27/12/2023 12:01,L
25/12/2023 07:00,24/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",446259623,25/12/2023 11:30,
25/12/2023 00:00,25/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",36638996,26/12/2023 12:01,L
25/12/2023 00:00,25/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1321497884,28/12/2023 16:01,A
25/12/2023 00:00,25/12/2023,"NTS Energy Offtaken, Powerstations Total",131154155,28/12/2023 16:01,A
25/12/2023 00:00,25/12/2023,"NTS Energy Offtaken, Storage Injection Total",486638216,26/12/2023 12:01,L
24/12/2023 07:49,23/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",479039039,24/12/2023 11:30,
24/12/2023 00:00,24/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",35399861,25/12/2023 12:01,L
24/12/2023 00:00,24/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1305862953,28/12/2023 16:01,A
24/12/2023 00:00,24/12/2023,"NTS Energy Offtaken, Powerstations Total",117605554,28/12/2023 16:01,A
24/12/2023 00:00,24/12/2023,"NTS Energy Offtaken, Storage Injection Total",566070220,25/12/2023 12:01,L
23/12/2023 07:33,22/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",665673355,23/12/2023 11:30,
23/12/2023 00:00,23/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",35413988,25/12/2023 12:01,A
23/12/2023 00:00,23/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1477405710,28/12/2023 16:01,A
23/12/2023 00:00,23/12/2023,"NTS Energy Offtaken, Powerstations Total",131712800,28/12/2023 16:01,A
23/12/2023 00:00,23/12/2023,"NTS Energy Offtaken, Storage Injection Total",387939775,24/12/2023 12:01,L
22/12/2023 07:28,21/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",596025455,22/12/2023 11:30,
22/12/2023 00:00,22/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",34881227,24/12/2023 12:01,A
22/12/2023 00:00,22/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1636845162,27/12/2023 16:01,A
22/12/2023 00:00,22/12/2023,"NTS Energy Offtaken, Powerstations Total",178373976,27/12/2023 12:01,A
22/12/2023 00:00,22/12/2023,"NTS Energy Offtaken, Storage Injection Total",144368086,23/12/2023 12:01,L
21/12/2023 07:28,20/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",523636240,21/12/2023 11:30,
21/12/2023 00:00,21/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",34740813,22/12/2023 12:01,L
21/12/2023 00:00,21/12/2023,"NTS Energy Offtaken, LDZ Offtake Total",1688939533,22/12/2023 16:01,A
21/12/2023 00:00,21/12/2023,"NTS Energy Offtaken, Powerstations Total",148040217,22/12/2023 12:01,A
21/12/2023 00:00,21/12/2023,"NTS Energy Offtaken, Storage Injection Total",369163804,22/12/2023 12:01,L
20/12/2023 07:43,19/12/2023,"NTS Energy Offtaken, Interconnector Exports Total",547516138,20/12/2023 11:30,
20/12/2023 00:00,20/12/2023,"NTS Energy Offtaken, Industrial Offtake Total",43172722,21/12/2023 12:01,L
